round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
1,3,101770,0,0.0,0.99
2,1,101770,0,0.0,0.892
2,2,101770,0,0.0,0.892
2,3,101770,0,0.0,0.892
3,1,101770,0,0.0,0.794
3,2,101770,0,0.0,0.794
3,3,101770,0,0.0,0.794
4,1,101770,0,0.0,0.696
4,2,101770,0,0.0,0.696
4,3,101770,0,0.0,0.696
5,1,101770,0,0.0,0.598
5,2,101770,0,0.0,0.598
5,3,101770,0,0.0,0.598
6,1,101770,0,0.0,0.5
6,2,101770,0,0.0,0.5
6,3,101770,0,0.0,0.5
7,1,101770,3,0.0029478235236317187,0.402
7,2,101770,3,0.0029478235236317187,0.402
7,3,101770,3,0.0029478235236317187,0.402
8,1,101770,617,0.6062690380269234,0.30400000000000005
8,2,101770,617,0.6062690380269234,0.30400000000000005
8,3,101770,617,0.6062690380269234,0.30400000000000005
9,1,101770,13347,13.114866856637516,0.20599999999999996
9,2,101770,13347,13.114866856637516,0.20599999999999996
9,3,101770,13347,13.114866856637516,0.20599999999999996
10,1,101770,27903,27.417706593298615,0.10799999999999998
10,2,101770,27903,27.417706593298615,0.10799999999999998
10,3,101770,27903,27.417706593298615,0.10799999999999998
