round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
2,1,101770,0,0.0,0.9508
2,2,101770,0,0.0,0.9508
3,1,101770,0,0.0,0.9116
3,2,101770,0,0.0,0.9116
4,1,101770,0,0.0,0.8724
4,2,101770,0,0.0,0.8724
5,1,101770,0,0.0,0.8331999999999999
5,2,101770,0,0.0,0.8331999999999999
6,1,101770,0,0.0,0.794
6,2,101770,0,0.0,0.794
7,1,101770,0,0.0,0.7548
7,2,101770,0,0.0,0.7548
8,1,101770,0,0.0,0.7156
8,2,101770,0,0.0,0.7156
9,1,101770,0,0.0,0.6764
9,2,101770,0,0.0,0.6764
10,1,101770,0,0.0,0.6372
10,2,101770,0,0.0,0.6372
11,1,101770,0,0.0,0.598
11,2,101770,0,0.0,0.598
12,1,101770,0,0.0,0.5588
12,2,101770,0,0.0,0.5588
13,1,101770,0,0.0,0.5196000000000001
13,2,101770,0,0.0,0.5196000000000001
14,1,101770,0,0.0,0.48039999999999994
14,2,101770,0,0.0,0.48039999999999994
15,1,101770,0,0.0,0.4411999999999999
15,2,101770,0,0.0,0.4411999999999999
16,1,101770,0,0.0,0.402
16,2,101770,0,0.0,0.402
17,1,101770,0,0.0,0.3628
17,2,101770,0,0.0,0.3628
18,1,101770,9,0.008843470570895157,0.3236
18,2,101770,9,0.008843470570895157,0.3236
19,1,101770,12,0.011791294094526875,0.2844
19,2,101770,12,0.011791294094526875,0.2844
20,1,101770,17,0.016704333300579736,0.24519999999999997
20,2,101770,17,0.016704333300579736,0.24519999999999997
21,1,101770,19,0.018669548983000883,0.20599999999999996
21,2,101770,19,0.018669548983000883,0.20599999999999996
22,1,101770,29,0.028495627395106617,0.16680000000000006
22,2,101770,29,0.028495627395106617,0.16680000000000006
23,1,101770,90,0.08843470570895155,0.12760000000000005
23,2,101770,90,0.08843470570895155,0.12760000000000005
24,1,101770,105,0.10317382332711016,0.08839999999999992
24,2,101770,105,0.10317382332711016,0.08839999999999992
25,1,101770,366,0.3596344698830697,0.04920000000000002
25,2,101770,366,0.3596344698830697,0.04920000000000002
