round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
2,1,101770,0,0.0,0.941
2,2,101770,0,0.0,0.941
3,1,101770,0,0.0,0.892
3,2,101770,0,0.0,0.892
4,1,101770,0,0.0,0.843
4,2,101770,0,0.0,0.843
5,1,101770,0,0.0,0.794
5,2,101770,0,0.0,0.794
6,1,101770,0,0.0,0.745
6,2,101770,0,0.0,0.745
7,1,101770,0,0.0,0.696
7,2,101770,0,0.0,0.696
8,1,101770,0,0.0,0.647
8,2,101770,0,0.0,0.647
9,1,101770,0,0.0,0.598
9,2,101770,0,0.0,0.598
10,1,101770,0,0.0,0.5489999999999999
10,2,101770,0,0.0,0.5489999999999999
11,1,101770,0,0.0,0.5
11,2,101770,0,0.0,0.5
12,1,101770,0,0.0,0.45099999999999996
12,2,101770,0,0.0,0.45099999999999996
13,1,101770,0,0.0,0.402
13,2,101770,0,0.0,0.402
14,1,101770,0,0.0,0.353
14,2,101770,0,0.0,0.353
15,1,101770,6,0.0058956470472634375,0.30400000000000005
15,2,101770,6,0.0058956470472634375,0.30400000000000005
16,1,101770,12,0.011791294094526875,0.255
16,2,101770,12,0.011791294094526875,0.255
17,1,101770,24,0.02358258818905375,0.20599999999999996
17,2,101770,24,0.02358258818905375,0.20599999999999996
18,1,101770,65,0.06386950967868724,0.15700000000000003
18,2,101770,65,0.06386950967868724,0.15700000000000003
19,1,101770,107,0.1051390390095313,0.10799999999999998
19,2,101770,107,0.1051390390095313,0.10799999999999998
20,1,101770,350,0.3439127444237005,0.05900000000000005
20,2,101770,350,0.3439127444237005,0.05900000000000005
