round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
2,1,101770,0,0.0,0.892
2,2,101770,0,0.0,0.892
3,1,101770,0,0.0,0.794
3,2,101770,0,0.0,0.794
4,1,101770,0,0.0,0.696
4,2,101770,0,0.0,0.696
5,1,101770,0,0.0,0.598
5,2,101770,0,0.0,0.598
6,1,101770,0,0.0,0.5
6,2,101770,0,0.0,0.5
7,1,101770,1,0.000982607841210573,0.402
7,2,101770,1,0.000982607841210573,0.402
8,1,101770,12,0.011791294094526875,0.30400000000000005
8,2,101770,12,0.011791294094526875,0.30400000000000005
9,1,101770,19,0.018669548983000883,0.20599999999999996
9,2,101770,19,0.018669548983000883,0.20599999999999996
10,1,101770,120,0.11791294094526873,0.10799999999999998
10,2,101770,120,0.11791294094526873,0.10799999999999998
