round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
2,1,101770,0,0.0,0.892
2,2,101770,0,0.0,0.892
3,1,101770,0,0.0,0.794
3,2,101770,0,0.0,0.794
4,1,101770,0,0.0,0.696
4,2,101770,0,0.0,0.696
5,1,101770,67,0.06583472536110839,0.598
5,2,101770,67,0.06583472536110839,0.598
6,1,101770,576,0.56598211653729,0.5
6,2,101770,576,0.56598211653729,0.5
7,1,101770,1064,1.0454947430480497,0.402
7,2,101770,1064,1.0454947430480497,0.402
8,1,101770,1606,1.5780681929841798,0.30400000000000005
8,2,101770,1606,1.5780681929841798,0.30400000000000005
9,1,101770,2090,2.0536503881300976,0.20599999999999996
9,2,101770,2090,2.0536503881300976,0.20599999999999996
10,1,101770,3512,3.450918738331532,0.10799999999999998
10,2,101770,3512,3.450918738331532,0.10799999999999998
