round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
2,1,101770,0,0.0,0.9508
2,2,101770,0,0.0,0.9508
3,1,101770,0,0.0,0.9116
3,2,101770,0,0.0,0.9116
4,1,101770,0,0.0,0.8724
4,2,101770,0,0.0,0.8724
5,1,101770,0,0.0,0.8331999999999999
5,2,101770,0,0.0,0.8331999999999999
6,1,101770,0,0.0,0.794
6,2,101770,0,0.0,0.794
7,1,101770,0,0.0,0.7548
7,2,101770,0,0.0,0.7548
8,1,101770,0,0.0,0.7156
8,2,101770,0,0.0,0.7156
9,1,101770,0,0.0,0.6764
9,2,101770,0,0.0,0.6764
10,1,101770,0,0.0,0.6372
10,2,101770,0,0.0,0.6372
11,1,101770,41,0.04028692148963349,0.598
11,2,101770,41,0.04028692148963349,0.598
12,1,101770,149,0.14640856834037536,0.5588
12,2,101770,149,0.14640856834037536,0.5588
13,1,101770,295,0.289869313157119,0.5196000000000001
13,2,101770,295,0.289869313157119,0.5196000000000001
14,1,101770,444,0.43627788149749436,0.48039999999999994
14,2,101770,444,0.43627788149749436,0.48039999999999994
15,1,101770,856,0.8411123120762504,0.4411999999999999
15,2,101770,856,0.8411123120762504,0.4411999999999999
16,1,101770,897,0.8813992335658839,0.402
16,2,101770,897,0.8813992335658839,0.402
17,1,101770,1087,1.0680947233958926,0.3628
17,2,101770,1087,1.0680947233958926,0.3628
18,1,101770,1391,1.3668075071239068,0.3236
18,2,101770,1391,1.3668075071239068,0.3236
19,1,101770,1504,1.4778421931807015,0.2844
19,2,101770,1504,1.4778421931807015,0.2844
20,1,101770,1914,1.8807114080770366,0.24519999999999997
20,2,101770,1914,1.8807114080770366,0.24519999999999997
21,1,101770,2342,2.301267564115162,0.20599999999999996
21,2,101770,2342,2.301267564115162,0.20599999999999996
22,1,101770,2661,2.6147194654613344,0.16680000000000006
22,2,101770,2661,2.6147194654613344,0.16680000000000006
23,1,101770,3719,3.6543185614621208,0.12760000000000005
23,2,101770,3719,3.6543185614621208,0.12760000000000005
24,1,101770,4876,4.791195833742753,0.08839999999999992
24,2,101770,4876,4.791195833742753,0.08839999999999992
25,1,101770,6782,6.664046379090105,0.04920000000000002
25,2,101770,6782,6.664046379090105,0.04920000000000002
