round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
2,1,101770,0,0.0,0.9704
2,2,101770,0,0.0,0.9704
3,1,101770,0,0.0,0.9508
3,2,101770,0,0.0,0.9508
4,1,101770,0,0.0,0.9312
4,2,101770,0,0.0,0.9312
5,1,101770,0,0.0,0.9116
5,2,101770,0,0.0,0.9116
6,1,101770,0,0.0,0.892
6,2,101770,0,0.0,0.892
7,1,101770,0,0.0,0.8724
7,2,101770,0,0.0,0.8724
8,1,101770,0,0.0,0.8528
8,2,101770,0,0.0,0.8528
9,1,101770,0,0.0,0.8331999999999999
9,2,101770,0,0.0,0.8331999999999999
10,1,101770,0,0.0,0.8136
10,2,101770,0,0.0,0.8136
11,1,101770,0,0.0,0.794
11,2,101770,0,0.0,0.794
12,1,101770,0,0.0,0.7744
12,2,101770,0,0.0,0.7744
13,1,101770,0,0.0,0.7548
13,2,101770,0,0.0,0.7548
14,1,101770,0,0.0,0.7352
14,2,101770,0,0.0,0.7352
15,1,101770,0,0.0,0.7156
15,2,101770,0,0.0,0.7156
16,1,101770,0,0.0,0.696
16,2,101770,0,0.0,0.696
17,1,101770,0,0.0,0.6764
17,2,101770,0,0.0,0.6764
18,1,101770,0,0.0,0.6568
18,2,101770,0,0.0,0.6568
19,1,101770,0,0.0,0.6372
19,2,101770,0,0.0,0.6372
20,1,101770,0,0.0,0.6175999999999999
20,2,101770,0,0.0,0.6175999999999999
21,1,101770,0,0.0,0.598
21,2,101770,0,0.0,0.598
22,1,101770,0,0.0,0.5784
22,2,101770,0,0.0,0.5784
23,1,101770,0,0.0,0.5588
23,2,101770,0,0.0,0.5588
24,1,101770,0,0.0,0.5391999999999999
24,2,101770,0,0.0,0.5391999999999999
25,1,101770,0,0.0,0.5196000000000001
25,2,101770,0,0.0,0.5196000000000001
26,1,101770,0,0.0,0.5
26,2,101770,0,0.0,0.5
27,1,101770,0,0.0,0.48039999999999994
27,2,101770,0,0.0,0.48039999999999994
28,1,101770,0,0.0,0.4608
28,2,101770,0,0.0,0.4608
29,1,101770,0,0.0,0.4411999999999999
29,2,101770,0,0.0,0.4411999999999999
30,1,101770,0,0.0,0.4216000000000001
30,2,101770,0,0.0,0.4216000000000001
31,1,101770,0,0.0,0.402
31,2,101770,0,0.0,0.402
32,1,101770,1,0.000982607841210573,0.38239999999999996
32,2,101770,1,0.000982607841210573,0.38239999999999996
33,1,101770,0,0.0,0.3628
33,2,101770,0,0.0,0.3628
34,1,101770,0,0.0,0.34319999999999995
34,2,101770,0,0.0,0.34319999999999995
35,1,101770,1,0.000982607841210573,0.3236
35,2,101770,1,0.000982607841210573,0.3236
36,1,101770,6,0.0058956470472634375,0.30400000000000005
36,2,101770,6,0.0058956470472634375,0.30400000000000005
37,1,101770,10,0.009826078412105728,0.2844
37,2,101770,10,0.009826078412105728,0.2844
38,1,101770,17,0.016704333300579736,0.26480000000000004
38,2,101770,17,0.016704333300579736,0.26480000000000004
39,1,101770,18,0.017686941141790313,0.24519999999999997
39,2,101770,18,0.017686941141790313,0.24519999999999997
40,1,101770,23,0.022599980347843177,0.22560000000000002
40,2,101770,23,0.022599980347843177,0.22560000000000002
41,1,101770,19,0.018669548983000883,0.20599999999999996
41,2,101770,19,0.018669548983000883,0.20599999999999996
42,1,101770,19,0.018669548983000883,0.1864
42,2,101770,19,0.018669548983000883,0.1864
43,1,101770,20,0.019652156824211457,0.16680000000000006
43,2,101770,20,0.019652156824211457,0.16680000000000006
44,1,101770,65,0.06386950967868724,0.1472
44,2,101770,65,0.06386950967868724,0.1472
45,1,101770,82,0.08057384297926698,0.12760000000000005
45,2,101770,82,0.08057384297926698,0.12760000000000005
46,1,101770,100,0.09826078412105729,0.10799999999999998
46,2,101770,100,0.09826078412105729,0.10799999999999998
47,1,101770,122,0.1198781566276899,0.08839999999999992
47,2,101770,122,0.1198781566276899,0.08839999999999992
48,1,101770,192,0.18866070551243,0.06880000000000008
48,2,101770,192,0.18866070551243,0.06880000000000008
49,1,101770,257,0.25253021519111724,0.04920000000000002
49,2,101770,257,0.25253021519111724,0.04920000000000002
50,1,101770,452,0.4441387442271789,0.02960000000000007
50,2,101770,452,0.4441387442271789,0.02960000000000007
